0,u,v,w
-20_-15_-12',0.177343503427669,0.21504684122451,0.360255498681477
-20_-15_-11',0.057291466796708,0.0996626748609102,0.17083069732452
-20_-15_-10',0.0495875499252539,0.085984513836768,0.132676839197743
-20_-15_-9',0.0629232507998971,0.0606688489282157,0.0788321409737705
-20_-15_-8',0.0795916115200278,0.0574711533230853,0.0580974970074138
-20_-15_-7',0.0597388094073864,0.0445157169122337,0.0488040318548738
-20_-15_-6',0.0393489443895221,0.0368067223678839,0.0381321921028933
-20_-15_-5',0.0302287107560659,0.0317253095126306,0.0321302857523782
-20_-15_-4',0.0268205368882118,0.0308670928849248,0.0303367510662266
-20_-15_-3',0.0235689148928676,0.0294063711956543,0.0278476148885901
-20_-15_-2',0.0231185796518654,0.0305633822423971,0.0279230127393838
-20_-15_-1',0.0168638139711268,0.0317448901835138,0.0274846267553655
-20_-15_0',0.017602581436649,0.0313048654528281,0.0286776313768823
-20_-15_1',0.022333267918721,0.0339682282304388,0.0289056470840526
-20_-15_2',0.0231090038226341,0.0349688160901556,0.0300217934351257
-20_-15_3',0.0356831053848581,0.0363918725905186,0.0298090712250153
-20_-15_4',0.0438876370960831,0.0363042455097714,0.0326558524992529
-20_-15_5',0.0393690942742069,0.033275921588202,0.0350997704042693
-20_-15_6',0.0580434751045174,0.0375822726450537,0.0362434649241474
-20_-15_7',0.0660348623204844,0.0408926128398235,0.0373350148625581
-20_-15_8',0.0611856120304404,0.040408232053787,0.0383772980135057
-20_-15_9',0.0766237957636659,0.0462520024978503,0.045115983632402
-20_-15_10',0.0813663944626883,0.0517801100349612,0.0540338759945642
-20_-15_11',0.129258307265561,0.0929854003380287,0.09481016524624
-20_-15_12',0.17033350555417,0.236444807260361,0.14484610068907
-20_-15_13',0.26159788321009,0.656930553787841,0.48442059204786
-20_-15_14',0.164751961930655,0.246900881812925,0.179910491522868
-20_-14_-14',0.176050869779163,0.327434961099147,0.549630621417693
-20_-14_-13',0.18356621019506,0.227215000760611,0.281760642856353
-20_-14_-12',0.0696780783286079,0.113593152075414,0.18057725546932
-20_-14_-11',0.0559057770435734,0.0985745603443759,0.164624303760354
-20_-14_-10',0.0623403257097894,0.0882994441194237,0.113417223385707
-20_-14_-9',0.0689929824984615,0.0671492918275214,0.0628863988357373
-20_-14_-8',0.063832800491751,0.0571376665171895,0.0549041099405655
-20_-14_-7',0.0539183446301806,0.0465108048776581,0.0432577007709308
-20_-14_-6',0.0426990018395499,0.0370792502782338,0.0391294841476872
-20_-14_-5',0.0255742839794144,0.0313962682106844,0.0302290626737008
-20_-14_-4',0.0274982433236306,0.0312111752446421,0.0278335185186184
-20_-14_-3',0.0191874614813707,0.0305786482298442,0.0270275069509361
-20_-14_-2',0.0212297281130277,0.0321513457566379,0.0275934911962838
-20_-14_-1',0.0233486302797663,0.0339019256518437,0.0293381170376078
-20_-14_0',0.022666348853212,0.037307854506843,0.0291828143306593
-20_-14_1',0.023623803375833,0.036853737556744,0.0344856629246012
-20_-14_2',0.0312218982588455,0.0378397882524375,0.0313082114248429
-20_-14_3',0.0356471593559814,0.0366331002780462,0.0309709399947867
-20_-14_4',0.0317379052354958,0.0356842021916769,0.0299434734686444
-20_-14_5',0.0425747130850155,0.036820768763193,0.0350563695792986
-20_-14_6',0.0506573600589309,0.0385442654207622,0.0365471557506265
-20_-14_7',0.0640323196709596,0.0450343187427929,0.0415391422535516
-20_-14_8',0.0723504521079061,0.0497592623288566,0.0414972125117753
-20_-14_9',0.0680907514046662,0.0508441243998362,0.0472054303967538
-20_-14_10',0.0963837008003518,0.0653715652345827,0.0727685562747178
-20_-14_11',0.105638828978024,0.100713208775858,0.0869290380711782
-20_-14_12',0.0753415738935982,0.130836039621382,0.0964959110526481
-20_-14_13',0.234068391589443,0.70282852036269,0.448502567268704
-20_-14_14',0.546885600427075,0.745049753300433,0.550116218614488
-20_-13_-15',0.104455944660895,0.206372482559127,0.269135036970291
-20_-13_-14',0.112340491896517,0.128446140462293,0.219265558883394
-20_-13_-13',0.0703584939861556,0.157382831987592,0.245427545404966
-20_-13_-12',0.0766857519582932,0.111593638942534,0.195639961891739
-20_-13_-11',0.0669628004575275,0.104090498855736,0.156647597983266
-20_-13_-10',0.0335154641814206,0.0697737202966342,0.0670118189646502
-20_-13_-9',0.0578960125318673,0.0608256481845859,0.0621266647831677
-20_-13_-8',0.0553927298186886,0.0576453300539945,0.0525722147104644
-20_-13_-7',0.049039961351475,0.0434124235979646,0.0409152399438557
-20_-13_-6',0.0324968865973633,0.037787605739355,0.0381604080615875
-20_-13_-5',0.0311501115599542,0.0343209783162823,0.0316946199330491
-20_-13_-4',0.0256528241674508,0.0328553920538401,0.0303723728294604
-20_-13_-3',0.0181232877081898,0.0333684236510085,0.0291861873706768
-20_-13_-2',0.0242257734231964,0.0344745512697701,0.0292210140475967
-20_-13_-1',0.0246826423794852,0.0378580495501109,0.0321293946540201
-20_-13_0',0.0352056828160318,0.0376190575471491,0.0319860068698725
-20_-13_1',0.0310382543307547,0.0374208515756469,0.0301533732316798
-20_-13_2',0.0357705696879718,0.0353803396244777,0.0294074814644442
-20_-13_3',0.0447560383886348,0.0375336701940062,0.0327160484269076
-20_-13_4',0.0346002929831726,0.0348253812943301,0.0309585323018876
-20_-13_5',0.0516186064507254,0.039908215152974,0.0347006721649811
-20_-13_6',0.0445518936457446,0.0405217758824969,0.0350226925939949
-20_-13_7',0.0598731435474823,0.050300050268224,0.0420379960713804
-20_-13_8',0.0686448956193596,0.0573819003285861,0.04929294357348
-20_-13_9',0.0993932193165856,0.068160010935416,0.0624070538722824
-20_-13_10',0.110922974692568,0.0831851524093448,0.0707816701846784
-20_-13_11',0.140392259964948,0.114874476899964,0.11512282546233
-20_-13_12',0.0643057947803343,0.100077068404664,0.0814250405386357
-20_-13_13',0.408787767796444,0.46383804794346,0.419235936341339
-20_-13_14',0.639098740414968,0.769742866157264,0.672733453902806
-20_-12_-15',0.0808282351324662,0.126529946819183,0.186615426165529
-20_-12_-14',0.0605473028715052,0.12236864000134,0.196617223977653
-20_-12_-13',0.0745462696698538,0.140553730628385,0.212109124112575
-20_-12_-12',0.0661270061672173,0.115150225159379,0.189083275427502
-20_-12_-11',0.0467526884278215,0.109486987519946,0.111090491450227
-20_-12_-10',0.0481507341273946,0.0752338893191294,0.073946473895942
-20_-12_-9',0.0472366677749929,0.0630011397009992,0.0578265457007228
-20_-12_-8',0.0461752720829977,0.0532211841840787,0.04722261180851
-20_-12_-7',0.0322024988286569,0.0475449546812972,0.0399214587215952
-20_-12_-6',0.0288245927530969,0.0403507598608674,0.0372766000990732
-20_-12_-5',0.0290359082577777,0.037724271801513,0.0343175778962142
-20_-12_-4',0.0226555922451706,0.0368903555255319,0.0326413098021996
-20_-12_-3',0.0221066402924275,0.0352735898254954,0.0277127250514323
-20_-12_-2',0.0250306974107752,0.0392085608954566,0.0284007082866788
-20_-12_-1',0.0307896065877428,0.0398602699212235,0.0325200656624325
-20_-12_0',0.0321928133130144,0.0399998624720586,0.0316294778528081
-20_-12_1',0.0382087873620761,0.0409554100973976,0.0321770186773583
-20_-12_2',0.0448931806122359,0.0400942008350605,0.0338603023326262
-20_-12_3',0.044912740334806,0.0410153057639885,0.0344895601235897
-20_-12_4',0.0467712473169512,0.0427374325163163,0.0359220861298145
-20_-12_5',0.0501668655294437,0.0412804922615427,0.0340769757573152
-20_-12_6',0.0586585990503167,0.0436354337252384,0.0378524609813285
-20_-12_7',0.0661920666861299,0.052949854249439,0.045224058087931
-20_-12_8',0.0852359677992957,0.0631886265975219,0.0526073040404903
-20_-12_9',0.0790223004600686,0.0821698943730967,0.0620088933158368
-20_-12_10',0.0781701223332162,0.114931711820541,0.070538626254964
-20_-12_11',0.0766565499957274,0.132212283478421,0.104797049515147
-20_-12_12',0.161320948147211,0.248742156905815,0.249666086264226
-20_-12_13',0.451818911290283,0.531102451013194,0.320260348066977
-20_-12_14',0.401003569301561,0.748371498647848,0.402703590318105
-20_-11_-15',0.0753103779556102,0.139674264367874,0.195471797910276
-20_-11_-14',0.0631702792737886,0.124945772061692,0.190726223895578
-20_-11_-13',0.0798848088297859,0.153025247440563,0.212981919585259
-20_-11_-12',0.0520436868479734,0.132412456852064,0.142937988040383
-20_-11_-11',0.0395511383139287,0.0951127677503265,0.0842330788341614
-20_-11_-10',0.0355620896377479,0.0810895509674218,0.068296463254829
-20_-11_-9',0.0417732883135639,0.0675131450676426,0.0576884208546807
-20_-11_-8',0.0293227532682357,0.0562117866740237,0.0424470106404649
-20_-11_-7',0.0403057103619926,0.0440190207627654,0.0391682841309328
-20_-11_-6',0.0392001628719281,0.0414640031433073,0.0376381203424723
-20_-11_-5',0.0198920803192664,0.0404695252211562,0.0323455196102854
-20_-11_-4',0.0195424886429632,0.0388669404997715,0.029931735248731
-20_-11_-3',0.0284371629445861,0.0403190253195539,0.0306137585523172
-20_-11_-2',0.0276636089877271,0.0405924388376745,0.0304038446839338
-20_-11_-1',0.0350080294794996,0.0410823760026914,0.032934055171567
-20_-11_0',0.0319554746474085,0.038368403949703,0.0300469312563789
-20_-11_1',0.0370334152324713,0.038135008733294,0.0288778657399661
-20_-11_2',0.0397140659525203,0.0397501911907884,0.0308784642648549
-20_-11_3',0.0431276355544686,0.0398698830998699,0.0332552221097712
-20_-11_4',0.0487391026809057,0.0421617234133705,0.0331861541975856
-20_-11_5',0.0563003438412994,0.0433288731010759,0.0385919963336604
-20_-11_6',0.0630590192426727,0.0544899463385831,0.0454425074684076
-20_-11_7',0.0790814379376373,0.0626927953809356,0.0547284178521048
-20_-11_8',0.0970144383131952,0.0816896451397599,0.0569030075788358
-20_-11_9',0.0962624437068526,0.0911824565577144,0.0675714842943227
